County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
ab,5.168952372922463,5.1645666843324705,4.556367604521126,6.268597916002197,5.913804034269981,6.275828258358868,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.246671546404735,6.285402218862252,6.285402218862252,6.285402218862252,6.279581711292752,6.285402218862252,6.285402218862252,6.285402218862252,6.2770089638923245
ag,5.403329631707395,6.504084003871723,5.120813496018732,6.66782485497412,6.652062670948472,6.6043862068663115,6.666319953067047,6.672425341971495,6.6651046734461055,6.672425341971495,6.672425341971495,6.672425341971495,6.672425341971495,6.619262534727078,6.672425341971495,6.672425341971495,6.672425341971495,6.672425341971495,6.672425341971495,6.672425341971495,6.672425341971495,6.575940261643627
ar,4.699192839106185,4.065952699994864,3.99803282258856,5.443519495768698,5.109436175217635,6.264998945230603,6.276711274545667,6.285402218862252,6.136834354135831,5.813849259070587,6.187124898636264,6.279581711292752,6.285402218862252,6.179479577686684,6.25476454425144,6.266469640614124,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,5.974097663726872
b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc,5.501012826921379,5.826593904864655,5.530713668135786,6.534270957535647,6.452974733874674,6.515866397577153,6.532380196540265,6.539158811108032,6.539158811108032,6.539158811108032,6.539158811108032,6.539158811108032,6.532380196540265,6.407537593624523,6.539158811108032,6.539158811108032,6.539158811108032,6.539158811108032,6.530770617363968,6.379020963431358,6.539158811108032,6.341905655467048
bh,4.968350901672341,3.5409044579196984,3.6391125952271257,6.591351733125629,6.333158959175871,6.636901569966763,6.6496025467530995,6.658211482751796,6.658211482751796,6.12135242523225,6.658211482751796,6.658211482751796,6.658211482751796,6.622243984540189,6.565553347516652,6.658211482751796,6.653766950373106,6.644817418007374,6.653856189774722,6.658211482751796,6.658211482751796,6.506681437508949
bn,5.042230714447381,4.444032757179795,4.359421916613399,5.894009131814934,5.633578470206019,5.954196310386874,5.947078183988814,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.954196310386874,5.904108022777108
br,3.3338346188079178,5.439519670423967,3.3795178872910143,5.459431618637298,5.459431618637298,5.380101304361034,5.393444621409073,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.4291473097651455,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.459431618637298,5.433182713979291
bt,5.3295308343313925,6.275517642215367,5.656068485234608,6.207958137457243,6.265025810427758,6.27871246061769,6.267827268582324,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.278457363755823,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.285402218862252,6.247770675677869
bv,3.6413384241979094,3.9586059019012154,3.5140424649416704,5.820433844471151,4.566717958706467,5.819043146173255,5.8388073837545145,5.857980995127572,5.857980995127572,5.857980995127572,5.84468466007835,5.857980995127572,5.857980995127572,5.703921408792082,5.857980995127572,5.857980995127572,5.857980995127572,5.857980995127572,5.857980995127572,5.805213597080181,5.857980995127572,5.502685389135682
