Siruta,Localitate,Judet,Mediu,Votanti_LP,Votanti_LS,LP,LS,LSC,UM,LT,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
1071,Ciugud,ab,R,2656,0,1183,156,0,89,1428,47,109,137,246,166,57,102,125,254,185
2381,Arieseni,ab,R,1366,0,809,60,0,38,907,46,71,88,179,92,50,62,72,156,91
3805,Cergau,ab,R,1276,0,545,55,0,47,647,37,59,49,128,74,38,42,38,97,85
3841,Ceru-Bacainti,ab,R,213,0,101,65,0,0,166,11,12,22,34,22,4,9,16,18,18
4008,Ciuruleasa,ab,R,945,0,507,49,0,29,585,28,46,48,126,64,20,39,49,96,69
4302,Farau,ab,R,1250,0,549,108,0,22,679,42,48,67,129,92,31,28,50,95,97
4767,Horea,ab,R,1629,0,830,75,0,29,934,56,70,93,207,83,36,60,81,147,101
5167,Livezile,ab,R,1059,0,424,108,0,68,600,18,35,47,115,101,14,24,34,98,114
6119,Ocolis,ab,R,473,0,230,79,0,13,322,14,15,25,74,48,10,16,17,54,49
6164,Ohaba,ab,R,529,0,200,79,0,29,308,15,21,16,56,49,11,15,10,44,71
6627,Ramet,ab,R,458,0,163,92,0,4,259,8,16,15,54,28,11,17,20,65,25
7044,Salistea,ab,R,1898,0,830,108,0,38,976,50,83,98,182,108,39,79,68,160,109
7197,Scarisoara,ab,R,1250,0,555,77,0,44,676,31,54,58,138,74,38,32,55,112,84
8229,Vadu Motilor,ab,R,1099,0,510,59,0,2,571,41,37,63,126,47,23,39,55,96,44
9832,Archis,ar,R,1208,0,547,62,0,10,619,33,30,63,125,86,24,43,58,94,63
10239,Brazii,ar,R,983,0,422,91,0,0,513,36,50,39,102,55,33,24,37,89,48
10701,Dieci,ar,R,1239,0,522,64,0,86,672,28,49,52,114,96,26,36,51,115,105
11236,Hasmas,ar,R,991,0,439,92,0,14,545,28,44,46,102,61,19,38,45,84,78
11478,Moneasa,ar,R,772,0,324,77,0,24,425,18,25,33,111,44,17,13,31,86,47
16329,Dambovicioara,ag,R,749,0,387,80,0,1,468,19,23,39,103,51,14,20,42,83,74
16454,Domnesti,ag,R,2588,0,1129,109,0,77,1315,42,67,116,285,171,44,70,103,248,169
16659,Hartiesti,ag,R,1732,0,1018,88,0,23,1129,77,87,117,200,84,65,92,106,189,112
17771,Nucsoara,ag,R,1125,0,601,100,0,25,726,33,46,64,130,81,30,43,63,124,112
18475,Rociu,ag,R,2036,0,873,246,0,105,1224,45,57,96,232,206,24,47,73,210,234
18581,Sapata,ag,R,1370,0,591,188,0,0,779,36,51,68,154,126,24,44,53,124,99
20048,Raca,ag,R,816,0,411,69,0,0,480,15,15,35,126,53,14,19,44,78,81
22488,Filipeni,bc,R,1710,0,761,241,0,73,1075,68,54,73,216,160,48,32,73,161,190
26920,Oras Nucet,bh,U,1735,0,817,103,0,49,969,40,48,83,211,105,43,52,88,193,106
27007,Oras Vascau,bh,U,1952,0,767,166,0,68,1001,46,50,64,190,148,30,41,78,200,154
27631,Bors,bh,R,3640,0,1576,143,0,103,1822,62,113,208,389,151,56,106,202,332,203
27935,Bulz,bh,R,1697,0,706,165,0,7,878,50,82,84,187,76,46,70,79,143,61
27971,Buntesti,bh,R,3651,0,1865,359,0,34,2258,122,204,216,445,216,115,152,200,403,185
28139,Capalna,bh,R,1190,0,415,167,0,32,614,24,28,42,119,99,16,21,33,111,121
28763,Cociuba Mare,bh,R,2285,0,984,202,0,116,1302,61,74,117,239,163,54,69,93,203,229
28816,Copacel,bh,R,1668,0,613,258,0,4,875,38,71,83,180,116,42,49,60,138,98
28889,Cristioru De Jos,bh,R,1062,0,467,79,0,3,549,26,24,51,105,92,14,24,37,104,72
29243,Draganesti,bh,R,2421,0,1136,119,0,6,1261,67,81,111,251,130,65,62,131,234,129
29760,Lazuri De Beius,bh,R,1338,0,638,87,0,16,741,35,53,68,149,90,31,45,55,140,75
29813,Lazareni,bh,R,2360,0,976,252,0,2,1230,87,127,111,260,106,65,94,96,196,88
29902,Lugasu De Jos,bh,R,2730,0,1199,140,0,89,1428,70,114,148,259,111,85,117,138,238,148
29948,Lunca,bh,R,2284,0,1128,178,0,48,1354,50,78,124,259,187,45,74,96,238,203
30416,Pocola,bh,R,1190,0,569,107,0,30,706,32,51,61,154,74,35,38,57,124,80
30470,Pomezeu,bh,R,2154,0,893,170,0,44,1107,64,86,73,196,170,51,53,67,187,160
30719,Remetea,bh,R,2345,0,1120,169,0,23,1312,76,94,118,241,144,58,97,114,226,144
30773,Rieni,bh,R,2399,0,1036,501,0,58,1595,109,143,155,299,148,89,100,127,276,149
30844,Rosia,bh,R,1929,0,1041,64,0,1,1106,65,99,111,211,125,65,82,96,170,82
30988,Salacea,bh,R,2468,0,1223,62,0,99,1384,63,116,143,229,81,66,102,141,262,181
31057,Sambata,bh,R,1088,0,439,194,0,30,663,33,33,51,125,85,41,31,55,98,111
31128,Sarbi,bh,R,1941,0,814,261,0,32,1107,50,74,72,256,130,55,68,69,172,161
31208,Spinus,bh,R,942,0,387,132,0,5,524,30,34,43,94,56,20,38,43,100,66
31609,Tarcaia,bh,R,1622,0,775,89,0,61,925,35,43,97,172,96,48,47,102,170,115
32045,Viisoara,bh,R,1059,0,584,37,0,47,668,45,37,60,134,56,40,36,58,111,91
32090,Varciorog,bh,R,1612,0,710,105,0,0,815,56,61,85,155,78,38,51,78,132,81
32179,Sannicolau Roman,bh,R,1773,0,737,148,0,37,922,49,79,91,177,91,44,73,66,155,97
34477,Sanmihaiu De Campie,bn,R,1090,0,443,130,0,27,600,31,47,49,124,71,33,33,33,90,89
36649,Cordareni,bt,R,1403,0,638,85,0,46,769,37,37,55,144,110,40,35,63,107,141
42449,Sinca Noua,bv,R,1288,0,712,96,0,38,846,44,68,79,148,99,40,60,75,141,92
43019,Ciresu,br,R,2332,0,1126,153,0,105,1384,64,111,134,281,151,53,59,115,195,221
44934,Balta Alba,bz,R,1972,0,854,147,0,9,1010,39,53,84,214,146,30,43,74,158,169
45334,Blajani,bz,R,816,0,408,72,0,51,531,14,21,31,101,83,7,21,30,102,121
45888,Canesti,bz,R,592,0,250,56,0,61,367,11,23,23,69,50,13,11,23,56,88
46108,Chiliile,bz,R,429,0,211,41,0,23,275,9,11,23,50,46,4,7,15,36,74
46251,Cilibia,bz,R,1482,0,606,119,0,44,769,37,70,86,168,62,43,50,63,115,75
46439,Colti,bz,R,828,0,365,62,0,0,427,18,16,26,96,67,20,15,23,75,71
47818,Murgesti,bz,R,731,0,336,63,0,0,399,18,16,28,64,68,13,19,24,60,89
48165,Pardosi,bz,R,313,0,156,79,0,0,235,4,10,26,40,49,3,7,18,33,45
49439,Scutelnici,bz,R,1700,0,739,144,0,35,918,54,59,72,181,111,34,48,61,151,147
50399,Valcelele,bz,R,1132,0,563,142,0,55,760,44,59,53,119,119,17,37,42,94,176
50479,Ziduri,bz,R,3390,0,1611,500,0,20,2131,146,164,172,438,228,98,128,131,342,284
50987,Ocna De Fier,cs,R,590,0,241,67,0,19,327,17,35,26,65,31,18,18,23,47,47
51243,Armenis,cs,R,1966,0,931,85,0,20,1036,43,75,106,215,117,43,71,78,171,117
51626,Brebu,cs,R,955,0,342,187,0,27,556,14,38,46,115,89,20,32,29,108,65
52954,Goruia,cs,R,656,0,239,92,0,7,338,14,17,25,87,46,11,25,14,56,43
53069,Lapusnicel,cs,R,782,0,397,53,0,39,489,15,22,22,91,90,8,18,17,78,128
