Siruta,Localitate,Judet,procent
111220,Ciresu,mh,147.12041884816753
89151,Cerbal,hd,120.97186700767263
113153,Poroina Mare,mh,113.38582677165354
112806,Padina,mh,105.08298755186722
112600,Livezile,mh,104.45026178010471
155662,Bara,tm,102.62172284644194
152662,Crangu,tr,99.64189794091315
72604,Gogosu,dj,98.66962305986696
110456,Balta,mh,95.47079856972586
111818,Godeanu,mh,94.03973509933775
112959,Podeni,mh,92.20389805097452
111916,Greci,mh,90.37267080745342
113233,Prunisor,mh,86.31303208906353
110571,Bacles,mh,85.95271210013908
113849,Vanatori,mh,84.44306160547605
126228,Colonesti,ot,84.41153546375682
112129,Husnicioara,mh,83.63821138211382
88920,Bulzestii De Sus,hd,82.95964125560538
125757,Barasti,ot,81.81818181818181
70968,Botosesti-Paia,dj,81.63636363636364
59130,Recea-Cristur,cj,81.5228426395939
109826,Simian,mh,78.15635939323221
129317,Tatulesti,ot,78.12061711079944
112263,Ilovat,mh,78.10894141829394
89026,Bunila,hd,77.96052631578948
3841,Ceru-Bacainti,ab,77.93427230046949
74108,Seaca De Camp,dj,77.5827143821742
54699,Zorlentu Mare,cs,76.94954128440367
113518,Stangaceaua,mh,75.71157495256168
154521,Talpa,tr,75.7070340826686
48165,Pardosi,bz,75.07987220447285
103309,Gogosari,gr,75.0186428038777
126905,Fagetelu,ot,74.84848484848484
74171,Secu,dj,74.17380660954713
74931,Plesoi,dj,73.79310344827586
103568,Gurbanesti,cl,73.34096109839817
72409,Ghercesti,dj,72.98335467349551
129282,Stefan Cel Mare,ot,72.8581713462923
110688,Balvanesti,mh,72.71468144044321
91054,Sarmizegetusa,hd,72.65135699373695
126380,Coteana,ot,72.18543046357615
112771,Oprisor,mh,71.94835680751174
74359,Terpezita,dj,71.47487844408428
154460,Suhaia,tr,71.38009049773756
73246,Mischii,dj,71.37907137907138
59434,Sancraiu,cj,71.22137404580153
111097,Cazanesti,mh,71.03729603729603
59498,Sanmartin,cj,71.00802854594113
113929,Vladaia,mh,70.79091620986688
113466,Rogova,mh,70.22900763358778
129503,Topana,ot,70.03610108303249
74949,Rojiste,dj,69.62406015037594
101519,Bulbucata,gr,69.5852534562212
130384,Soparlita,ot,69.46410515672396
127812,Oboga,ot,69.25308194343728
157969,Ohaba Lunga,tm,69.23076923076923
88216,Batrana,hd,69.0721649484536
156534,Criciova,tm,68.71717929482371
103693,Iepuresti,gr,68.5583822570124
126503,Cungrea,ot,68.4041184041184
152350,Calinesti,tr,68.22660098522168
74616,Vela,dj,68.19407008086253
6119,Ocolis,ab,68.07610993657505
112370,Isverna,mh,67.77332570120205
128882,Samburesti,ot,67.68507638072856
50399,Valcelele,bz,67.13780918727915
74867,Carna,dj,67.13483146067416
154308,Sarbeni,tr,66.9776119402985
102071,Colibasi,gr,66.82908545727136
94606,Ulmu,cl,66.7605633802817
70673,Amarastii De Sus,dj,66.66666666666667
104715,Putineiu,gr,66.59352715304443
30773,Rieni,bh,66.4860358482701
2381,Arieseni,ab,66.398243045388
143147,Zimbor,sj,66.25463535228677
105348,Stoenesti,gr,65.79283887468031
103238,Ghimpati,gr,65.74793875147232
42449,Sinca Noua,bv,65.6832298136646
111587,Dumbrava,mh,65.4309545875811
88868,Bucuresci,hd,65.38461538461539
70986,Brabova,dj,65.33203125
156151,Brestovat,tm,65.22462562396007
130062,Voineasa,ot,65.22248243559719
16659,Hartiesti,ag,65.18475750577367
45334,Blajani,bz,65.07352941176471
74135,Seaca De Padure,dj,65.06849315068493
158136,Pietroasa,tm,64.72684085510689
17771,Nucsoara,ag,64.53333333333333
127901,Optasi-Magura,ot,64.48598130841121
87843,Balsa,hd,64.4640234948605
90431,Pestisu Mic,hd,64.4308943089431
46108,Chiliile,bz,64.1025641025641
102838,Frasinet,cl,63.98763523956723
104519,Oinacu,gr,63.474791439970986
110946,Burila Mare,mh,63.40450771055753
127858,Oporelu,ot,63.25088339222615
65154,Estelnic,cv,63.18742985409652
32045,Viisoara,bh,63.07837582625118
22488,Filipeni,bc,62.865497076023395
50479,Ziduri,bz,62.86135693215339
53069,Lapusnicel,cs,62.531969309462916
16329,Dambovicioara,ag,62.483311081441926
153384,Mosteni,tr,62.226117440841364
153909,Rasmiresti,tr,62.035541195476576
45888,Canesti,bz,61.99324324324324
73772,Predesti,dj,61.9928400954654
59942,Vad,cj,61.98243412797992
151503,Capu Campului,sv,61.92226890756302
4008,Ciuruleasa,ab,61.904761904761905
154013,Scrioastea,tr,61.86770428015564
27971,Buntesti,bh,61.84606956998083
155092,Beuca,tr,61.441090555014604
112664,Malovat,mh,61.36576239476146
114060,Branistea,mh,61.32332878581173
112995,Ponoarele,mh,61.063291139240505
85626,Siculeni,hr,61.04651162790697
91535,Toplita,hd,61.032863849765256
31057,Sambata,bh,60.9375
90805,Ribita,hd,60.68222621184919
101984,Clejani,gr,60.64437194127243
128105,Oras Piatra-Olt,ot,60.604299825682745
57225,Ciurila,cj,60.586319218241044
151996,Balaci,tr,60.497667185069986
92097,Vorta,hd,60.416666666666664
104047,Letca Noua,gr,60.40530007794232
81656,Samarinesti,gj,60.234321157822194
18475,Rociu,ag,60.117878192534384
155136,Purani,tr,59.85790408525755
113493,Salcia,mh,59.446606139213145
43019,Ciresu,br,59.34819897084048
30416,Pocola,bh,59.32773109243698
86495,Racu,hr,59.30501930501931
29948,Lunca,bh,59.28196147110333
154914,Viisoara,tr,59.23664122137404
170685,Ladesti,vl,59.21052631578947
90262,Martinesti,hd,59.1187270501836
140583,Coseiu,sj,59.11431513903192
113698,Sovarna,mh,58.957654723127035
94125,Alexandru Odobescu,cl,58.85057471264368
20048,Raca,ag,58.8235294117647
86438,Madaras,hr,58.67178924259056
125659,Babiciu,ot,58.64089045108377
78668,Arcani,gj,58.60215053763441
53103,Lapusnicu Mare,cs,58.463832960477255
86749,Carjiti,hd,58.46153846153846
79736,Calnic,gj,58.44723892837616
171101,Maciuca,vl,58.43023255813954
111006,Butoiesti,mh,58.407766990291265
152582,Cosmesti,tr,58.36263184329483
105419,Stefanestii De Jos,if,58.27968771401178
6164,Ohaba,ab,58.22306238185255
51626,Brebu,cs,58.21989528795812
179926,Rascaeti,db,58.188932364449414
127714,Nicolae Titulescu,ot,58.13953488372093
151709,Ciuperceni,tr,58.110236220472444
152902,Draganesti-Vlasca,tr,58.09257533395464
152127,Bogdana,tr,58.04398148148148
94731,Valcelele,cl,57.92151162790697
73371,Murgasi,dj,57.8783151326053
125677,Baldovinesti,ot,57.7906976744186
80285,Farcasesti,gj,57.630979498861045
78748,Balanesti,gj,57.5875486381323
91624,Totesti,hd,57.39528795811518
4767,Horea,ab,57.33578882750153
30844,Rosia,bh,57.33540694660446
158608,Secas,tm,57.333333333333336
129987,Valcele,ot,57.284595300261095
70726,Apele Vii,dj,57.20288115246098
154415,Stejaru,tr,57.09169054441261
157193,Ghizela,tm,57.08418891170431
72980,Macesu De Jos,dj,57.07502374169041
104341,Nicolae Balcescu,cl,57.07277187244481
105295,Stanesti,gr,57.03458076740881
31128,Sarbi,bh,57.03245749613601
31609,Tarcaia,bh,57.028360049321826
84237,Danesti,hr,57.02658708627238
28763,Cociuba Mare,bh,56.98030634573304
174520,Mitrofani,vl,56.97823303457106
18581,Sapata,ag,56.86131386861314
66955,Cornatelu,db,56.8609022556391
57314,Catcau,cj,56.81206246634356
130339,Gura Padinii,ot,56.800563777307964
5167,Livezile,ab,56.657223796033996
80980,Negomir,gj,56.62438336856942
86519,Santimbru,hr,56.61252900232019
85412,Remetea,hr,56.55880643286185
6627,Ramet,ab,56.55021834061135
102446,Daia,gr,56.51140684410647
73665,Piscu Vechi,dj,56.49953574744661
110296,Bala,mh,56.42201834862385
71885,Cosoveni,dj,56.375838926174495
70094,Isalnita,dj,56.29082646975291
161348,Stejaru,tl,56.144578313253014
72819,Grecesti,dj,56.13899613899614
30988,Salacea,bh,56.077795786061586
140477,Carastelec,sj,56.062424969987994
30719,Remetea,bh,55.94882729211088
91116,Salasu De Sus,hd,55.92004100461302
72150,Dragotesti,dj,55.87544065804936
179793,Buesti,il,55.875299760191844
26920,Oras Nucet,bh,55.85014409221902
154709,Toporu,gr,55.64795564795565
31208,Spinus,bh,55.62632696390658
87996,Baru,hd,55.54577464788732
92783,Albesti,il,55.50847457627118
179837,Coas,mm,55.470737913486005
141884,Lozna,sj,55.46666666666667
50987,Ocna De Fier,cs,55.42372881355932
29760,Lazuri De Beius,bh,55.38116591928251
88644,Bretea Romana,hd,55.37948290241868
154852,Vedea,tr,55.31443755535872
85840,Sansimion,hr,55.23297491039426
154932,Vartoape,tr,55.22098105876639
110875,Brosteni,mh,55.118110236220474
140440,Camar,sj,55.10976532929599
11478,Moneasa,ar,55.05181347150259
34477,Sanmihaiu De Campie,bn,55.04587155963303
125105,Ruginoasa,nt,55.035737491877846
96334,Coarnele Caprei,is,55.02958579881657
53489,Coronini,cs,55.0
11236,Hasmas,ar,54.9949545913219
104975,Schitu,gr,54.96845425867508
36649,Cordareni,bt,54.81111903064861
105106,Singureni,gr,54.63286713286713
111550,Darvari,mh,54.63008329250368
130302,Gavanesti,ot,54.59119496855346
47818,Murgesti,bz,54.5827633378933
81576,Runcu,gj,54.56642066420664
74915,Ghindeni,dj,54.48051948051948
151932,Crevenicu,tr,54.47154471544715
73594,Perisor,dj,54.45180279617366
110027,Obarsia-Closani,mh,54.406580493537014
109265,Oras Ulmeni,mm,54.36229852838122
155109,Dracea,tr,54.354838709677416
71910,Cotofenii Din Dos,dj,54.33403805496829
4302,Farau,ab,54.32
128301,Poboru,ot,54.282034771410174
10701,Dieci,ar,54.23728813559322
70566,Almaj,dj,54.23297262889879
89348,Densus,hd,54.13290113452188
7197,Scarisoara,ab,54.08
77587,Poiana,gl,54.03111739745403
74859,Carcea,dj,54.00724929520741
49439,Scutelnici,bz,54.0
173597,Sutesti,vl,53.87344766410408
111783,Garla Mare,mh,53.81679389312977
91447,Tomesti,hd,53.80047505938242
1071,Ciugud,ab,53.765060240963855
77377,Tepu,gl,53.709349593495936
155154,Uda-Clocociov,tr,53.64842454394693
71518,Caraula,dj,53.62167795726941
113732,Tamna,mh,53.57585779247623
153026,Galateni,tr,53.51972041937094
178965,Spulber,vn,53.49065880039331
71572,Castranova,dj,53.427895981087474
154166,Sfintesti,tr,53.40909090909091
