Cod Siruta,City,prezenta_la_vot
111220,Ciresu,78.90173410404624
89151,Cerbal,75.98684210526316
112600,Livezile,74.74424552429667
113153,Poroina Mare,72.46376811594203
110456,Balta,71.42857142857143
72604,Gogosu,68.34645669291339
110571,Bacles,67.72009029345372
113518,Stangaceaua,67.38941890719862
112806,Padina,66.62180349932706
126228,Colonesti,66.21704475781729
155662,Bara,65.93673965936739
112959,Podeni,65.0
70968,Botosesti-Paia,64.23248882265275
91054,Sarmizegetusa,63.81395348837209
103238,Ghimpati,63.55332267641014
125757,Barasti,63.10751104565538
74108,Seaca De Camp,62.782805429864254
59434,Sancraiu,62.618724559023065
152662,Crangu,61.736150770988004
101519,Bulbucata,61.31687242798354
88920,Bulzestii De Sus,60.8843537414966
74171,Secu,60.729166666666664
2381,Arieseni,60.314207650273225
89026,Bunila,60.30927835051546
129282,Stefan Cel Mare,60.13681592039801
126380,Coteana,60.037261294829996
111818,Godeanu,60.02886002886003
127812,Oboga,59.68454258675079
59498,Sanmartin,59.48210205635948
112129,Husnicioara,59.40959409594096
88868,Bucuresci,59.39479239971851
111916,Greci,59.29264909847434
103693,Iepuresti,59.25925925925926
42449,Sinca Noua,59.176300578034684
59130,Recea-Cristur,59.009009009009006
88216,Batrana,58.92857142857143
114060,Branistea,58.8586595885866
105348,Stoenesti,58.85815185403178
154521,Talpa,58.666666666666664
113466,Rogova,58.55072463768116
102071,Colibasi,58.24854651162791
130384,Soparlita,58.14558058925476
16659,Hartiesti,58.06626833242803
129317,Tatulesti,58.057630736392746
72409,Ghercesti,57.9002079002079
156534,Criciova,57.80346820809248
130062,Voineasa,57.78841041998937
112263,Ilovat,57.72230889235569
104715,Putineiu,57.71878072763028
3841,Ceru-Bacainti,57.70609318996416
154308,Sarbeni,57.701915070774355
48165,Pardosi,57.6530612244898
126503,Cungrea,57.59423503325942
103309,Gogosari,57.50145942790426
101984,Clejani,57.483128225486304
161348,Stejaru,57.42904841402337
113233,Prunisor,57.3901464713715
54699,Zorlentu Mare,57.36842105263158
111006,Butoiesti,57.350628930817614
74931,Plesoi,57.34939759036145
126905,Fagetelu,57.142857142857146
74949,Rojiste,57.13069391230311
109826,Simian,57.108225108225106
113849,Vanatori,57.04874835309618
32045,Viisoara,57.042869641294836
158136,Pietroasa,57.018498367791075
74359,Terpezita,56.9023569023569
128882,Samburesti,56.83673469387755
70673,Amarastii De Sus,56.801093643198904
127901,Optasi-Magura,56.638811513463324
110946,Burila Mare,56.614044637996734
86438,Madaras,56.571119524067065
74616,Vela,56.534254461715605
157969,Ohaba Lunga,56.32183908045977
112370,Isverna,56.30784218217243
129503,Topana,55.9593023255814
17771,Nucsoara,55.92
45334,Blajani,55.73593073593074
154460,Suhaia,55.65570076611086
110688,Balvanesti,55.48245614035088
73246,Mischii,55.48245614035088
86495,Racu,55.43318649045521
6119,Ocolis,55.39823008849557
50399,Valcelele,55.39622641509434
16329,Dambovicioara,55.18072289156626
151503,Capu Campului,55.11773185968284
104519,Oinacu,55.0696469063816
27971,Buntesti,55.0606285572878
4008,Ciuruleasa,55.034213098729225
85626,Siculeni,55.026672137874435
65154,Estelnic,54.88180883864337
111097,Cazanesti,54.850746268656714
104047,Letca Noua,54.73309608540925
74867,Carna,54.54545454545455
53069,Lapusnicel,54.46224256292906
20048,Raca,54.23728813559322
179926,Rascaeti,54.184322033898304
90431,Pestisu Mic,53.96551724137931
30844,Rosia,53.73808329152032
152350,Calinesti,53.604806408544725
112771,Oprisor,53.441108545034645
81656,Samarinesti,53.42465753424658
103568,Gurbanesti,53.403141361256544
154013,Scrioastea,53.36374002280502
155136,Purani,53.29581993569132
74135,Seaca De Padure,53.2183908045977
86519,Santimbru,53.013392857142854
4767,Horea,52.85631852279285
29948,Lunca,52.80764635603345
30773,Rieni,52.72051368705644
90805,Ribita,52.71867612293144
111587,Dumbrava,52.484472049689444
105419,Stefanestii De Jos,52.48145305704784
46108,Chiliile,52.42914979757085
152582,Cosmesti,52.41860465116279
84237,Danesti,52.36882322975038
85412,Remetea,52.346307748272096
94606,Ulmu,52.34435049961568
128105,Oras Piatra-Olt,52.319014205031664
154709,Toporu,52.31481481481482
154914,Viisoara,52.29485396383866
50479,Ziduri,52.23305954825462
80980,Negomir,52.172470978441126
43019,Ciresu,52.14676034348165
110027,Obarsia-Closani,51.94063926940639
140477,Carastelec,51.93621867881549
156151,Brestovat,51.90217391304348
91624,Totesti,51.86074429771909
30416,Pocola,51.80722891566265
73772,Predesti,51.774847870182555
143147,Zimbor,51.60349854227405
112995,Ponoarele,51.546840958605664
85840,Sansimion,51.5442690459849
70986,Brabova,51.43540669856459
179793,Buesti,51.399776035834265
130339,Gura Padinii,51.390728476821195
22488,Filipeni,51.3881877839475
151996,Balaci,51.323828920570264
153384,Mosteni,51.317715959004396
80285,Farcasesti,51.23626373626374
70094,Isalnita,51.22651356993737
72980,Macesu De Jos,51.181102362204726
140440,Camar,51.15942028985507
92097,Vorta,51.06382978723404
155092,Beuca,51.025430680885975
30988,Salacea,50.96995055154051
31609,Tarcaia,50.95936794582393
113929,Vladaia,50.927588270496706
94125,Alexandru Odobescu,50.88440970793912
140583,Coseiu,50.8675799086758
113493,Salcia,50.866384289564884
153909,Rasmiresti,50.824175824175825
53103,Lapusnicu Mare,50.792602377807135
151709,Ciuperceni,50.73787772312017
79736,Calnic,50.56070209653827
109265,Oras Ulmeni,50.55125884482475
91535,Toplita,50.46235138705416
30719,Remetea,50.45329128892393
91116,Salasu De Sus,50.30559473436765
127858,Oporelu,50.283018867924525
26920,Oras Nucet,50.212089077412514
73371,Murgasi,50.185528756957325
29760,Lazuri De Beius,50.03469812630118
45888,Canesti,50.0
78748,Balanesti,49.97535731887629
53489,Coronini,49.799196787148595
100282,Costesti,49.7626582278481
127714,Nicolae Titulescu,49.72273567467653
130302,Gavanesti,49.71031286210892
18475,Rociu,49.64390448261416
91447,Tomesti,49.609810479375696
73665,Piscu Vechi,49.473240623683104
87246,Banita,49.46653734238603
96334,Coarnele Caprei,49.42035208243882
171101,Maciuca,49.364675984752225
31057,Sambata,49.35262757044935
154852,Vedea,49.34640522875817
129987,Valcele,49.32463903120633
174520,Mitrofani,49.2468134414832
90262,Martinesti,49.175257731958766
102838,Frasinet,49.17302798982188
104975,Schitu,49.16485112563544
178965,Spulber,49.1412213740458
77587,Poiana,49.126344086021504
154932,Vartoape,49.1129381220251
88644,Bretea Romana,49.109511178476694
59942,Vad,49.09467149508536
125659,Babiciu,49.09182643794147
89348,Densus,49.07063197026022
179837,Coas,49.03920061491161
111550,Darvari,49.01521933751119
128301,Poboru,48.983253588516746
87843,Balsa,48.96788990825688
29243,Draganesti,48.95874263261297
66955,Cornatelu,48.91304347826087
81576,Runcu,48.861720067453625
87996,Baru,48.86045581767293
154415,Stejaru,48.84735202492212
152127,Bogdana,48.83485309017224
51243,Armenis,48.81699661999034
72819,Grecesti,48.75173370319001
112664,Malovat,48.726719878373245
78668,Arcani,48.68519909842224
101378,Bucsani,48.5952133194589
84102,Carta,48.58369098712446
63326,Gradina,48.565121412803535
28763,Cociuba Mare,48.55935459085671
31128,Sarbi,48.54845913354176
170685,Ladesti,48.48101265822785
110296,Bala,48.441108545034645
70726,Apele Vii,48.40595111583422
18581,Sapata,48.39537869062901
71910,Cotofenii Din Dos,48.39337877312561
82617,Oras Turceni,48.36228994588436
57314,Catcau,48.229263746505126
180037,Boghis,48.217757615035644
8229,Vadu Motilor,48.189655172413794
