Cod Siruta,Localitate,Partid majoritar
5309,Lunca Muresului,UDMR
6592,Rametea,UDMR
9360,Sofronea,UDMR
11352,Iratosu,UDMR
11423,Misca,UDMR
11637,Peregu Mare,UDMR
12849,Zerind,UDMR
12912,Dorobanti,UDMR
22718,Ghimes-Faget,UDMR
26877,Municipiul Marghita,UDMR
26975,Municipiul Salonta,UDMR
27169,Abramut,UDMR
27436,Biharia,UDMR
27631,Bors,UDMR
27908,Buduslau,UDMR
28415,Cetariu,UDMR
28497,Cherechiu,UDMR
28530,Chislaz,UDMR
28610,Ciuhoi,UDMR
29001,Curtuiseni,UDMR
29092,Diosig,UDMR
29403,Finis,UDMR
29902,Lugasu De Jos,UDMR
30915,Oras Sacueni,UDMR
30988,Salacea,UDMR
31011,Salard,UDMR
31333,Simian,UDMR
31565,Tarcea,UDMR
31609,Tarcaia,UDMR
31654,Tauteu,UDMR
32027,Oras Valea Lui Mihai,UDMR
32045,Viisoara,UDMR
32153,Tamaseu,UDMR
32161,Paleu,UDMR
32187,Rosiori,UDMR
32660,Branistea,UDMR
40526,Apata,UDMR
41541,Ormenis,UDMR
41701,Racos,UDMR
55473,Aghiresu,UDMR
55838,Baciu,UDMR
56327,Buza,UDMR
56425,Calarasi,UDMR
56568,Capusu Mare,UDMR
57948,Garbau,UDMR
58204,Izvoru Crisului,UDMR
58721,Moldovenesti,UDMR
59327,Savadisla,UDMR
59416,Sic,UDMR
59434,Sancraiu,UDMR
59657,Suatu,UDMR
59880,Unguras,UDMR
63394,Municipiul Sfantu Gheorghe,UDMR
63447,Oras Baraolt,UDMR
63526,Oras Covasna,UDMR
63553,Comandau,UDMR
63740,Municipiul Targu Secuiesc,UDMR
63777,Aita Mare,UDMR
63802,Batani,UDMR
63866,Belin,UDMR
63893,Bodoc,UDMR
63937,Borosneu Mare,UDMR
64005,Brates,UDMR
64041,Bradut,UDMR
64096,Bretcu,UDMR
64130,Catalina,UDMR
64194,Cernat,UDMR
64238,Chichis,UDMR
64318,Ghelinta,UDMR
64345,Ghidfalau,UDMR
64425,Ilieni,UDMR
64461,Lemnia,UDMR
64504,Malnas,UDMR
64568,Moacsa,UDMR
