Cod Siruta,Localitate,Partid majoritar
1017,Municipiul Alba Iulia,USR_PLUS
1071,Ciugud,PNL
1151,Oras Abrud,PSD
1213,Municipiul Aiud,PNL
1348,Municipiul Blaj,PNL
1455,Oras Campeni,PNL
1696,Oras Cugir,PNL
1794,Oras Ocna Mures,PNL
1874,Municipiul Sebes,PNL
1936,Oras Zlatna,PNL
2130,Albac,PNL
2309,Almasu Mare,PNL
2381,Arieseni,PNL
2577,Avram Iancu,PNL
2915,Oras Baia De Aries,PSD
2988,Berghin,PNL
3039,Bistra,PNL
3397,Blandiana,PNL
3459,Bucium,PSD
3761,Cenade,PNL
3805,Cergau,PNL
3841,Ceru-Bacainti,PMP
3958,Cetatea De Balta,PNL
4008,Ciuruleasa,PSD
4106,Calnic,PSD
4142,Cricau,PNL
4188,Craciunelu De Jos,PNL
4240,Daia Romana,PNL
4268,Dostat,PNL
4302,Farau,PNL
4366,Galda De Jos,PNL
4482,Garbova,PSD
4525,Garda De Sus,PNL
4703,Hoparta,PNL
4767,Horea,PNL
4927,Ighiu,PNL
4981,Intregalde,PNL
5103,Jidvei,PNL
5167,Livezile,PNL
5210,Lopadea Noua,PNL
5309,Lunca Muresului,UDMR
5336,Lupsa,PSD
5577,Metes,PNL
5700,Mihalt,PNL
5755,Miraslau,PNL
5826,Mogos,PNL
6048,Noslac,PNL
6119,Ocolis,PNL
6164,Ohaba,PNL
6217,Pianu,PNL
6271,Poiana Vadului,PNL
6397,Ponor,PNL
6468,Posaga,PNL
6547,Radesti,PNL
6592,Rametea,UDMR
6627,Ramet,PSD
6761,Rosia Montana,PSD
6930,Rosia De Secas,AUR
6976,Salciua,PNL
7044,Salistea,PNL
7099,Sasciori,PNL
7197,Scarisoara,PNL
7348,Sancel,PNL
7384,Santimbru,PNL
7446,Sohodol,PNL
7767,Stremt,PSD
7810,Sibot,PNL
7865,Sona,PNL
7945,Spring,PNL
8014,Sugag,PNL
8096,Oras Teius,PSD
8158,Unirea,PNL
8229,Vadu Motilor,PSD
8354,Valea Lunga,AUR
8425,Vidra,PSD
8826,Vintu De Jos,PNL
9019,Cut,PNL
9026,Bucerdea Granoasa,PNL
9262,Municipiul Arad,PNL
9280,Fantanele,PNL
9333,Livada,PNL
9360,Sofronea,UDMR
9397,Vladimirescu,PNL
9459,Oras Chisineu-Cris,PNL
9495,Oras Curtici,PNL
9538,Oras Ineu,PNL
9574,Oras Lipova,PSD
9627,Oras Nadlac,PSD
9654,Oras Pancota,PSD
9690,Oras Sebis,PNL
9743,Almas,PNL
9798,Apateu,PSD
9832,Archis,PSD
9887,Bata,PNL
9930,Beliu,PNL
10006,Birchis,PSD
10051,Barsa,PNL
10104,Barzava,PSD
10195,Bocsig,PSD
10239,Brazii,PNL
10293,Buteni,PNL
10346,Carand,PSD
10373,Cermei,PNL
10417,Chisindia,PNL
10453,Conop,PNL
10514,Covasint,PNL
10532,Craiva,PSD
10649,Dezna,PSD
10701,Dieci,PSD
10765,Ususau,PSD
10827,Felnac,PSD
10872,Ghioroc,PNL
10916,Graniceri,PNL
10943,Gurahont,PNL
11058,Halmagiu,PSD
11174,Halmagel,PSD
11236,Hasmas,PSD
11307,Ignesti,PNL
11352,Iratosu,UDMR
11398,Macea,PNL
11423,Misca,UDMR
11478,Moneasa,PSD
11502,Olari,PNL
11539,Paulis,PSD
11584,Oras Pecica,PNL
11637,Peregu Mare,UDMR
11664,Petris,PNL
11735,Pilu,PNL
11762,Plescuta,PNL
11842,Savarsin,PSD
11940,Secusigiu,PSD
11995,Seleus,PNL
12037,Semlac,PNL
12055,Sintea Mare,PNL
12091,Oras Santana,PNL
12126,Socodor,PNL
12144,Sagu,PNL
12206,Seitin,PSD
12224,Sepreus,PNL
12242,Sicula,PSD
12288,Silindia,PNL
12340,Simand,PNL
12368,Siria,PNL
12402,Sistarovat,PSD
12457,Taut,PNL
12509,Tarnova,PSD
12572,Varadia De Mures,PSD
12643,Vinga,PNL
12689,Varfurile,PSD
12778,Zabrani,PNL
12812,Zarand,PNL
12849,Zerind,UDMR
12876,Zimandu Nou,PNL
12912,Dorobanti,UDMR
12920,Frumuseni,PNL
12938,Zadareni,PNL
13169,Municipiul Pitesti,PSD
13187,Bascov,PSD
13276,Bradu,PSD
13301,Oras Mioveni,PSD
13365,Maracineni,PSD
13392,Oras Stefanesti,PSD
13490,Municipiul Campulung,PSD
13524,Valea Mare Pravat,PSD
13622,Municipiul Curtea De Arges,PSD
13668,Oras Costesti,PSD
13757,Oras Topoloveni,PSD
13819,Albestii De Arges,PSD
13891,Albestii De Muscel,PNL
13935,Albota,PSD
13999,Aninoasa,PSD
14049,Arefu,PSD
14085,Babana,PSD
14165,Baiculesti,PSD
14272,Balilesti,PSD
14352,Beleti-Negresti,PSD
14405,Berevoesti,PSD
14450,Barla,PSD
14584,Bogati,PSD
14673,Boteni,PSD
14726,Botesti,PSD
14753,Bradulet,PSD
14851,Budeasa,PSD
14922,Bughea De Jos,PSD
14940,Buzoesti,PSD
15064,Caldararu,PSD
15108,Calinesti,PSD
15233,Cateasca,PSD
15313,Cepari,PSD
15402,Cetateni,PSD
15448,Cicanesti,PNL
15493,Ciofrangeni,PSD
15554,Ciomagesti,PSD
15652,Cocu,PSD
15741,Corbeni,PSD
15830,Corbi,PSD
15901,Cosesti,PSD
15983,Cotmeana,PSD
16132,Cuca,PSD
16285,Davidesti,PSD
16329,Dambovicioara,PSD
16365,Darmanesti,PSD
16427,Dobresti,PSD
16454,Domnesti,PNL
16472,Dragoslavele,PSD
16506,Draganu,PSD
16551,Godeni,PSD
16613,Harsesti,PSD
16659,Hartiesti,PNL
16739,Izvoru,PSD
16757,Leordeni,PSD
16908,Leresti,PSD
16944,Lunca Corbului,PSD
17049,Malureni,PSD
17101,Merisani,PSD
17209,Micesti,PSD
17254,Mihaesti,PSD
17334,Mioarele,PSD
