uat_siruta,nr_alegatori,nr_voturi,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,AUR,UDMR
1017,63246,21387,830,4167,5800,6000,865,2212.0,252
1071,2901,1388,99,226,551,216,38,154.0,12
1151,4675,1616,45,677,452,135,57,172.0,21
1213,21802,5849,141,1527,1587,1017,173,474.0,749
1348,17102,5490,152,876,2407,620,125,875.0,149
1455,6436,2642,38,874,911,181,70,457.0,10
1696,22130,7006,226,1889,2410,1101,158,878.0,49
1794,11840,2757,178,568,1108,293,128,205.0,144
1874,26595,7662,330,1224,3177,1390,154,940.0,36
1936,6844,2196,97,557,758,186,124,372.0,24
2130,1774,681,15,141,263,26,23,180.0,1
2309,1097,464,83,69,158,47,28,63.0,5
2381,1464,883,10,213,521,22,31,74.0,0
2577,1286,482,18,109,243,22,20,46.0,0
2915,3420,965,31,319,264,99,35,181.0,10
2988,1692,481,44,60,227,44,8,74.0,5
3039,3923,1255,27,409,437,78,38,215.0,6
3397,855,299,8,46,151,32,6,41.0,3
3459,1324,456,12,267,86,15,14,46.0,3
3761,800,276,5,24,180,16,11,34.0,1
3805,1379,617,8,86,301,78,11,79.0,10
3841,279,161,83,18,40,8,1,2.0,2
3958,2464,737,22,130,232,49,15,201.0,57
4008,1023,563,9,379,76,30,5,49.0,2
4106,1508,501,45,161,155,46,13,67.0,2
4142,1763,555,22,95,186,98,74,61.0,1
4188,1761,687,91,111,248,58,26,122.0,8
4240,2604,965,42,115,630,74,6,75.0,0
4268,820,365,13,46,227,17,17,33.0,1
4302,1380,657,9,60,432,57,13,35.0,36
4366,3830,1107,93,218,375,160,38,122.0,71
4482,1697,475,18,201,178,25,3,36.0,5
4525,1351,448,10,104,163,34,28,86.0,1
4703,963,357,12,54,198,20,11,33.0,7
4767,1733,916,17,144,526,48,26,120.0,3
4927,5782,1687,71,304,613,297,38,277.0,11
4981,570,214,58,30,71,12,12,20.0,1
5103,4284,1333,31,166,679,94,32,264.0,23
5167,1234,591,17,130,328,39,7,52.0,5
5210,2304,898,12,88,364,38,14,58.0,313
5309,2111,438,10,64,109,41,19,50.0,135
5336,2656,971,69,304,211,157,33,155.0,5
5577,2490,954,34,291,334,76,37,139.0,3
5700,2843,957,54,211,474,81,18,82.0,0
5755,1772,525,11,120,174,53,17,29.0,98
5826,759,315,22,55,165,31,12,17.0,2
6048,1543,501,14,62,301,22,8,27.0,54
6119,565,313,6,45,204,25,8,11.0,1
6164,637,296,9,99,128,9,5,34.0,2
6217,3056,985,23,165,427,108,24,186.0,3
6271,867,279,6,88,97,13,22,44.0,4
6397,585,219,13,37,112,14,22,14.0,1
6468,903,383,17,79,192,49,11,22.0,3
6547,1178,519,5,102,252,23,16,43.0,62
6592,945,328,3,32,16,24,3,0.0,243
6627,554,250,5,108,65,19,3,36.0,5
6761,2356,868,28,357,225,60,17,123.0,5
6930,1273,321,14,75,87,24,11,92.0,2
6976,1307,451,12,97,219,55,19,33.0,5
7044,2044,959,33,153,445,83,47,163.0,3
7099,4958,1623,447,188,536,194,22,169.0,11
7197,1371,643,13,168,293,24,22,79.0,5
7348,2232,720,63,113,306,54,27,121.0,7
7384,2624,969,36,318,334,119,22,80.0,8
7446,1537,564,34,180,236,16,17,59.0,0
7767,2200,820,10,335,254,75,17,95.0,5
7810,2198,750,25,167,311,92,40,66.0,5
7865,3710,1053,65,132,445,84,22,164.0,115
7945,2141,853,21,104,413,70,12,211.0,1
8014,2378,1060,38,100,572,174,14,117.0,4
