Siruta,City,Valoare
1017,Municipiul Alba Iulia,232864
1151,Oras Abrud,4980
1213,Municipiul Aiud,26532
1348,Municipiul Blaj,38550
1455,Oras Campeni,3884
1696,Oras Cugir,11442
1794,Oras Ocna Mures,494
1874,Municipiul Sebes,81526
2130,Albac,24882
2309,Almasu Mare,264
2381,Arieseni,50428
2915,Oras Baia De Aries,1984
3039,Bistra,888
3459,Bucium,1192
4302,Farau,8
4366,Galda De Jos,4144
4482,Garbova,3192
4525,Garda De Sus,14150
4767,Horea,1746
4927,Ighiu,9290
4981,Intregalde,1960
5103,Jidvei,1708
5167,Livezile,3428
5336,Lupsa,2706
5577,Metes,512
5755,Miraslau,3582
6048,Noslac,82
6217,Pianu,6670
6271,Poiana Vadului,978
6592,Rametea,23820
6627,Ramet,40
6976,Salciua,5118
7099,Sasciori,3648
7197,Scarisoara,48
7384,Santimbru,21696
7767,Stremt,1294
7810,Sibot,3192
7865,Sona,100
7945,Spring,7312
8014,Sugag,15560
8096,Oras Teius,4108
8229,Vadu Motilor,4426
8425,Vidra,812
8826,Vintu De Jos,1590
9262,Municipiul Arad,487372
9333,Livada,398
9397,Vladimirescu,3900
9459,Oras Chisineu-Cris,9412
9495,Oras Curtici,1088
9538,Oras Ineu,23182
9574,Oras Lipova,3810
9627,Oras Nadlac,11062
9690,Oras Sebis,5290
9887,Bata,214
10104,Barzava,294
10293,Buteni,448
10872,Ghioroc,620
11058,Halmagiu,468
11478,Moneasa,191844
11539,Paulis,5630
11584,Oras Pecica,2582
11664,Petris,362
11842,Savarsin,1228
12037,Semlac,3994
12368,Siria,968
12457,Taut,212
12509,Tarnova,5600
12689,Varfurile,1314
12876,Zimandu Nou,534
13169,Municipiul Pitesti,257274
13187,Bascov,23468
13276,Bradu,11782
13301,Oras Mioveni,16740
13365,Maracineni,974
13392,Oras Stefanesti,10952
13490,Municipiul Campulung,31560
13524,Valea Mare Pravat,1170
13622,Municipiul Curtea De Arges,64102
13757,Oras Topoloveni,13312
13819,Albestii De Arges,3224
13891,Albestii De Muscel,3058
13935,Albota,5542
14049,Arefu,105820
14272,Balilesti,1350
14405,Berevoesti,2014
14450,Barla,5298
14753,Bradulet,3120
14851,Budeasa,758
14922,Bughea De Jos,250
15108,Calinesti,884
15402,Cetateni,108
15652,Cocu,290
15741,Corbeni,23016
15830,Corbi,126
15983,Cotmeana,2048
16329,Dambovicioara,15286
16365,Darmanesti,50
16472,Dragoslavele,5196
16551,Godeni,1384
16908,Leresti,16658
16944,Lunca Corbului,1398
17334,Mioarele,4634
17496,Mosoaia,16002
17726,Negrasi,264
17771,Nucsoara,5424
17824,Oarja,2818
18527,Rucar,30634
18554,Salatrucu,722
18858,Stoenesti,836
19695,Valea Iasului,1150
20063,Bughea De Sus,6196
20297,Municipiul Bacau,245334
20313,Hemeius,7402
20359,Letea Veche,882
20411,Magura,28646
20466,Margineni,16498
