Siruta,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1017,105792.0,94378.0,110498.0,110104.0,117024.0,129430.0,135886.0,125616.0,80876.0,84312.0,119020.0,144498.0,162756.0,156672.0,222892.0,232864.0
1151,3916.0,10520.0,10974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,2206.0,1972.0,1724.0,2680.0,4980.0
1213,12416.0,3284.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,924.0,9866.0,11846.0,12458.0,14366.0,24736.0,26532.0
1348,1786.0,3536.0,5750.0,6704.0,6208.0,5796.0,9608.0,8702.0,5002.0,7798.0,8504.0,13952.0,17150.0,20634.0,33100.0,38550.0
1455,2348.0,0.0,0.0,2606.0,1508.0,5564.0,10456.0,8310.0,4464.0,222.0,754.0,1832.0,1504.0,1032.0,1362.0,3884.0
1696,7672.0,5300.0,4698.0,5634.0,5088.0,6102.0,6498.0,4954.0,5148.0,7080.0,5980.0,6202.0,10764.0,11846.0,14358.0,11442.0
1794,5202.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,700.0,1014.0,494.0
1874,8916.0,11394.0,7848.0,9088.0,22908.0,11382.0,14688.0,9878.0,21712.0,22900.0,39908.0,58476.0,41498.0,52650.0,109140.0,81526.0
2130,160.0,5802.0,6182.0,1920.0,714.0,216.0,116.0,846.0,694.0,338.0,7332.0,10410.0,12346.0,14922.0,19794.0,24882.0
2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,1442.0,2000.0,856.0,736.0,264.0
2381,18270.0,24990.0,19080.0,16122.0,17008.0,17422.0,24752.0,26192.0,35808.0,26520.0,36760.0,41616.0,35586.0,38214.0,50454.0,50428.0
2915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,170.0,454.0,1006.0,1984.0
3039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,576.0,396.0,592.0,888.0
3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.0
4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
4366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,2712.0,1906.0,2146.0,2212.0,4144.0
4482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,626.0,346.0,892.0,3192.0
4525,6392.0,4168.0,6780.0,4132.0,4542.0,5132.0,7744.0,8108.0,13108.0,6010.0,10310.0,10452.0,11254.0,8756.0,12662.0,14150.0
4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,528.0,204.0,524.0,792.0,1746.0
4927,0.0,0.0,0.0,0.0,1564.0,5026.0,4794.0,4792.0,3322.0,3176.0,9948.0,8824.0,9482.0,9314.0,11228.0,9290.0
4981,12292.0,19788.0,14390.0,9310.0,3794.0,3426.0,1802.0,3248.0,2632.0,1210.0,2228.0,3690.0,3682.0,3024.0,1040.0,1960.0
5103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,626.0,1776.0,1708.0
5167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,48.0,4.0,1142.0,1520.0,1350.0,2302.0,3428.0
5336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,458.0,1958.0,1998.0,2706.0
5577,0.0,0.0,0.0,0.0,0.0,3994.0,3940.0,4918.0,5290.0,3094.0,2938.0,3520.0,4666.0,2702.0,0.0,512.0
5755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,294.0,2598.0,1958.0,6490.0,3582.0
6048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
6217,0.0,0.0,0.0,0.0,160.0,1400.0,2252.0,2084.0,2246.0,1946.0,3338.0,2198.0,2520.0,7564.0,17616.0,6670.0
6271,3312.0,2740.0,3198.0,2742.0,184.0,3030.0,1244.0,1746.0,3190.0,2702.0,2522.0,5696.0,11156.0,2260.0,470.0,978.0
6592,2138.0,3574.0,5394.0,9258.0,4844.0,1622.0,0.0,0.0,2200.0,14354.0,4094.0,9228.0,12982.0,18564.0,20604.0,23820.0
6627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,0.0,40.0
6976,0.0,0.0,0.0,0.0,0.0,1596.0,2946.0,4144.0,2728.0,1358.0,9078.0,10766.0,11062.0,8766.0,8260.0,5118.0
7099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4362.0,1984.0,4052.0,4986.0,3648.0
7197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
7384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6236.0,9982.0,14570.0,21396.0,26704.0,28208.0,19826.0,21696.0
7767,178.0,68.0,1142.0,0.0,200.0,0.0,0.0,0.0,1674.0,1916.0,3202.0,4130.0,1880.0,0.0,2362.0,1294.0
7810,0.0,0.0,0.0,0.0,48.0,758.0,2848.0,2962.0,1736.0,1302.0,1378.0,1740.0,1120.0,870.0,1702.0,3192.0
7865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.0,726.0,1586.0,7312.0
8014,622.0,1068.0,1026.0,998.0,1410.0,1094.0,3284.0,3780.0,2248.0,3038.0,5166.0,6922.0,6586.0,3790.0,12596.0,15560.0
8096,0.0,0.0,0.0,1672.0,2082.0,3350.0,2472.0,1894.0,550.0,334.0,690.0,620.0,488.0,786.0,2020.0,4108.0
8229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,4606.0,9732.0,4828.0,2868.0,4310.0,4426.0
8425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4598.0,6970.0,5712.0,6722.0,3852.0,812.0
8826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,3800.0,1868.0,2242.0,2078.0,1590.0
9262,265484.0,238916.0,300862.0,352884.0,354616.0,396150.0,390240.0,363944.0,346530.0,345194.0,419758.0,406902.0,424362.0,457136.0,484924.0,487372.0
9333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,574.0,392.0,298.0,384.0,464.0,522.0,688.0,398.0
9397,1182.0,1234.0,1232.0,2276.0,3640.0,3186.0,3740.0,2214.0,3690.0,8192.0,4992.0,3660.0,6612.0,6786.0,4564.0,3900.0
9459,5332.0,3310.0,9080.0,10228.0,10366.0,16350.0,13540.0,9876.0,13358.0,16314.0,21410.0,13644.0,13270.0,11342.0,16732.0,9412.0
9495,0.0,0.0,0.0,0.0,0.0,232.0,10.0,328.0,1350.0,494.0,766.0,662.0,718.0,1046.0,952.0,1088.0
9538,1062.0,12.0,5454.0,740.0,22.0,0.0,0.0,0.0,0.0,0.0,980.0,2098.0,2430.0,10302.0,17284.0,23182.0
9574,0.0,0.0,2460.0,2248.0,758.0,850.0,1216.0,8106.0,5368.0,6364.0,8492.0,8006.0,8018.0,6924.0,3876.0,3810.0
9627,11968.0,18720.0,16308.0,17514.0,23836.0,25404.0,25048.0,29926.0,27288.0,24430.0,23446.0,30178.0,23454.0,23586.0,16278.0,11062.0
9654,0.0,0.0,0.0,794.0,92.0,236.0,196.0,0.0,178.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0
9690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,3152.0,4664.0,2876.0,3830.0,3928.0,4038.0,4054.0,5290.0
9887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,16.0,218.0,332.0,144.0,292.0,214.0
10104,472.0,354.0,394.0,512.0,486.0,460.0,398.0,652.0,124.0,70.0,134.0,64.0,0.0,0.0,338.0,294.0
10293,1014.0,598.0,348.0,568.0,720.0,4010.0,976.0,3328.0,2044.0,1588.0,786.0,796.0,722.0,256.0,524.0,448.0
10649,27770.0,8040.0,8684.0,12438.0,1870.0,3464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,1590.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0
10872,110.0,296.0,206.0,128.0,108.0,146.0,70.0,108.0,608.0,1010.0,844.0,1786.0,770.0,208.0,554.0,620.0
11058,0.0,0.0,0.0,648.0,1736.0,1666.0,854.0,4512.0,1598.0,3674.0,626.0,526.0,284.0,316.0,732.0,468.0
11174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0
11478,213458.0,214264.0,217354.0,195408.0,220284.0,227626.0,264358.0,243774.0,248794.0,180392.0,190136.0,187914.0,167428.0,169540.0,189814.0,191844.0
11539,0.0,0.0,0.0,44.0,22.0,40.0,0.0,56.0,266.0,1420.0,1824.0,8030.0,6956.0,4102.0,5056.0,5630.0
