County,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ab,191412.0,190648.0,196960.0,180290.0,189286.0,206340.0,235330.0,222174.0,201680.0,202182.0,311444.0,412710.0,426024.0,435726.0,625524.0,626830.0
ag,526160.0,512228.0,491916.0,445436.0,496160.0,519912.0,697274.0,631628.0,379774.0,412470.0,437002.0,499150.0,473614.0,555392.0,656054.0,696892.0
ar,543096.0,492834.0,570418.0,602956.0,623322.0,686400.0,707534.0,674232.0,666626.0,609758.0,691268.0,684812.0,677720.0,718588.0,759988.0,761826.0
b,1893496.0,2026086.0,2260312.0,2540766.0,2731912.0,3081108.0,3732434.0,4024346.0,3420936.0,3699184.0,4028302.0,4178978.0,4449258.0,4994364.0,5736182.0,6299940.0
bc,788846.0,819276.0,822332.0,737186.0,703050.0,732602.0,663730.0,620128.0,549242.0,391818.0,477050.0,514490.0,530426.0,547710.0,646318.0,674894.0
bh,2421336.0,2399320.0,2403390.0,2356638.0,2262328.0,2290366.0,2278490.0,2256318.0,1997276.0,1770906.0,2008732.0,2058448.0,1904326.0,2116182.0,2274036.0,2777714.0
bn,522658.0,556278.0,596184.0,470448.0,549568.0,521330.0,506534.0,478286.0,357700.0,275746.0,287856.0,329270.0,280814.0,285276.0,391138.0,369738.0
br,595762.0,513404.0,532946.0,492448.0,506668.0,498478.0,595360.0,585270.0,402074.0,367642.0,459226.0,453378.0,409520.0,391888.0,435626.0,450364.0
bt,196040.0,133304.0,120564.0,112134.0,93676.0,102028.0,114572.0,110926.0,108576.0,98872.0,134696.0,123246.0,117602.0,155870.0,136110.0,155580.0
bv,1769292.0,1558592.0,1646590.0,1921672.0,2000636.0,2109844.0,2382938.0,2559188.0,1970044.0,2156594.0,2659662.0,2973048.0,3508640.0,3563636.0,4121918.0,4426004.0
bz,260564.0,257194.0,339372.0,325954.0,317996.0,330820.0,365724.0,398856.0,362976.0,297182.0,307712.0,333432.0,365868.0,346920.0,337950.0,351480.0
cj,539116.0,630810.0,818414.0,912876.0,1022594.0,1153034.0,1444668.0,1462064.0,990926.0,855782.0,995750.0,1021518.0,1165282.0,1292040.0,1713192.0,1925836.0
cl,37318.0,51506.0,71400.0,74902.0,105854.0,166046.0,104240.0,106382.0,54090.0,55140.0,67246.0,63300.0,68626.0,70990.0,73950.0,76672.0
cs,1595656.0,1840260.0,1900532.0,1730826.0,1489976.0,1594776.0,1442772.0,1414966.0,1163932.0,942000.0,1091322.0,995136.0,1072752.0,1030146.0,1422052.0,1376606.0
ct,9800982.0,9165784.0,8943140.0,9350874.0,8816332.0,8231818.0,8938836.0,8871404.0,7506490.0,6333412.0,6722146.0,7599052.0,6837994.0,7233960.0,8362612.0,9083702.0
cv,1082424.0,974594.0,1039226.0,985462.0,981780.0,915418.0,858056.0,973538.0,903948.0,818360.0,1064776.0,945630.0,876448.0,967286.0,963200.0,1047096.0
db,535176.0,476422.0,491668.0,493834.0,487600.0,497130.0,535778.0,604460.0,470734.0,437052.0,496288.0,476462.0,486376.0,495706.0,500240.0,504572.0
dj,179356.0,173990.0,115352.0,156740.0,168732.0,187000.0,251052.0,275748.0,143378.0,131390.0,232854.0,293562.0,323076.0,323304.0,374614.0,349366.0
gj,206554.0,208470.0,167296.0,180076.0,169168.0,196188.0,210984.0,239462.0,231940.0,211452.0,273442.0,346632.0,342342.0,337474.0,294312.0,299738.0
gl,180536.0,199920.0,196580.0,218926.0,211936.0,234814.0,261490.0,282782.0,197772.0,150002.0,207102.0,216244.0,264668.0,236764.0,274152.0,293386.0
gr,137410.0,117656.0,120774.0,158468.0,138758.0,126102.0,161480.0,180084.0,179398.0,169936.0,184052.0,188816.0,165602.0,83812.0,81854.0,95260.0
hd,704558.0,529034.0,634904.0,515060.0,520896.0,514638.0,586494.0,566894.0,479966.0,445358.0,461870.0,464048.0,475750.0,544266.0,687576.0,646892.0
hr,713810.0,579814.0,638960.0,687166.0,622330.0,580638.0,547736.0,484546.0,413840.0,415250.0,502358.0,609830.0,639170.0,659500.0,834258.0,940510.0
if,41572.0,93300.0,107438.0,177554.0,230600.0,234848.0,316532.0,401438.0,250622.0,261610.0,230950.0,297914.0,296766.0,327440.0,342986.0,411846.0
il,490668.0,422666.0,510590.0,534324.0,476562.0,577196.0,663208.0,608136.0,547686.0,399148.0,436292.0,427410.0,403524.0,377816.0,421950.0,368032.0
is,516636.0,510882.0,523104.0,557448.0,579450.0,652496.0,744294.0,752436.0,677528.0,686142.0,698922.0,731472.0,713334.0,782808.0,908322.0,1090126.0
