County,Ani,0
ab,2001,39980.73140246918
ab,2002,36442.464335429926
ab,2003,50922.840111830825
ab,2004,48947.81941543732
ab,2005,49867.383588495555
ab,2006,52655.899724679046
ab,2007,56665.587099456054
ab,2008,51653.57218535661
ab,2009,30840.23008971053
ab,2010,32161.404014559695
ab,2011,43309.16725476911
ab,2012,50611.455838801674
ab,2013,49801.37830350174
ab,2014,50404.01795179585
ab,2015,75901.02736103031
ab,2016,72236.23049242912
ag,2001,147494.89435896857
ag,2002,152006.5224624289
ag,2003,150110.06408095412
ag,2004,135968.61060556927
ag,2005,160419.17578298287
ag,2006,158277.8816167171
ag,2007,187821.98149720003
ag,2008,170837.94179416646
ag,2009,88217.70054064337
ag,2010,101750.56596453527
ag,2011,99449.89880826829
ag,2012,103616.67978015219
ag,2013,85838.14232359281
ag,2014,99946.39855618782
ag,2015,110455.08629379029
ag,2016,113866.76551237192
ar,2001,193706.66713455954
ar,2002,174404.66065666344
ar,2003,209988.55391105832
ar,2004,232186.44186808864
ar,2005,240928.15722001105
ar,2006,258749.6907994784
ar,2007,261719.1445893032
ar,2008,224569.39716744365
ar,2009,204744.4873554537
ar,2010,201501.91309516542
ar,2011,233698.00713060691
ar,2012,227933.08965530025
ar,2013,237090.94250363228
ar,2014,255333.9176684342
ar,2015,277882.86980730493
ar,2016,280309.2188575099
b,2001,1893496.0
b,2002,2026086.0
b,2003,2260312.0
b,2004,2540766.0
b,2005,2731912.0
b,2006,3081108.0
b,2007,3732434.0
b,2008,4024346.0
b,2009,3420936.0
b,2010,3699184.0
b,2011,4028302.0
b,2012,4178978.0
b,2013,4449258.0
b,2014,4994364.0
b,2015,5736182.0
b,2016,6299940.0
bc,2001,111981.6142499861
bc,2002,100385.24142263431
bc,2003,103548.71960023136
bc,2004,93348.23472748986
bc,2005,91817.60410545488
bc,2006,96872.95027160585
bc,2007,101130.0917363273
bc,2008,96364.83248027386
bc,2009,77776.5761727828
bc,2010,69818.78666277014
bc,2011,68065.8497929734
bc,2012,81449.06535913877
bc,2013,72859.56965514559
bc,2014,97887.61669054355
bc,2015,85887.22273558745
bc,2016,121289.51900110782
bh,2001,227940.84636397433
bh,2002,240470.93936102476
bh,2003,189218.44305654394
bh,2004,182372.25540466135
bh,2005,192770.31496407202
bh,2006,206329.46742279103
bh,2007,211813.10513406477
bh,2008,202061.21341236355
bh,2009,186170.25850588598
bh,2010,191583.86082367293
bh,2011,214595.87805220432
bh,2012,226759.12926074295
bh,2013,232591.75656377315
bh,2014,392580.76230267185
bh,2015,455413.66385350603
bh,2016,531175.1113573265
bn,2001,108567.10317476322
bn,2002,138894.28003387802
bn,2003,133046.4323673933
bn,2004,118869.88897876116
bn,2005,115737.14788216703
bn,2006,127776.8553069712
bn,2007,129685.71286056246
bn,2008,123892.8648283609
bn,2009,92291.95058004004
bn,2010,99473.22221882407
bn,2011,79576.89361142556
bn,2012,105164.26558863932
bn,2013,81906.71471974856
bn,2014,90823.3798889191
bn,2015,127700.97383883837
bn,2016,112253.3671099212
br,2001,552515.8928451785
br,2002,478292.11935257376
br,2003,506608.9040379241
br,2004,461361.7805047061
br,2005,472348.10201684316
br,2006,471396.4569613619
br,2007,559783.9633679112
br,2008,550934.9312267322
br,2009,379091.127778581
br,2010,344851.398534355
br,2011,423290.53516856494
br,2012,362047.33538597764
br,2013,328378.24649440555
br,2014,314141.906970941
br,2015,356718.32679350715
br,2016,363344.02435804554
bt,2001,61851.98582366992
bt,2002,60192.892917222925
bt,2003,66454.49110524842
bt,2004,64690.794245655205
bt,2005,58892.795047863074
bt,2006,59906.89104939565
bt,2007,64760.651620280296
bt,2008,61313.14696567867
bt,2009,56991.08325600608
bt,2010,56707.8816683529
bt,2011,77214.0013170577
bt,2012,78320.31341183795
bt,2013,77499.59771071427
bt,2014,83852.768934201
bt,2015,86919.36898568597
bt,2016,97947.4461652668
bv,2001,593743.1397467239
bv,2002,541546.2764973457
bv,2003,530224.5762967364
bv,2004,536170.5685270405
bv,2005,542570.3593422986
bv,2006,583391.169383618
bv,2007,666706.5754089664
bv,2008,681832.6925450689
bv,2009,520602.008637768
bv,2010,612419.4832219479
bv,2011,744129.9134212693
bv,2012,822715.3654946518
bv,2013,892841.9762686779
bv,2014,931562.9120203987
bv,2015,1081964.6674988724
bv,2016,1127100.8528474881
bz,2001,63463.74213547942
bz,2002,63186.65334368073
bz,2003,75184.02575986896
bz,2004,68953.53613537978
bz,2005,53821.71535644192
bz,2006,52308.405621907266
bz,2007,59665.08777372528
bz,2008,70639.1518839274
bz,2009,56491.6344468824
bz,2010,41885.95385698178
bz,2011,39860.76881373528
bz,2012,49618.21559841909
bz,2013,54281.193570701085
bz,2014,57946.69822328114
bz,2015,53173.5142205582
bz,2016,54352.40942532974
cj,2001,242792.73400142006
cj,2002,285107.99281077913
cj,2003,342410.05310441134
cj,2004,389564.9669418407
cj,2005,434024.4033357697
cj,2006,446473.2663552973
cj,2007,542268.123034607
cj,2008,499948.5248019476
cj,2009,342379.3425578781
cj,2010,339173.7742141443
