,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
RM_Adulti,1.0,0.9842154567438072,0.9866451731352696,0.24605553254484203,0.5104338757055936,0.6822919735434851,0.6208975596040629,0.5164635507689432,-0.4064787424622801,0.5732971463660187,0.6001354411940348,-0.6908270735731311,0.6786788866702756,-0.941797651304651,0.7766234760366338,0.04578276749488184
RM_Barbati,0.9842154567438071,0.9999999999999998,0.942828611672078,0.2203632228617827,0.44764206432616455,0.6342716966747858,0.630767772468167,0.5152751666560281,-0.4671077472294232,0.5989600145863632,0.6228703289526872,-0.6843813757075193,0.6752909199048398,-0.9381152665942537,0.777852740305883,0.05692120644913673
RM_femei,0.9866451731352696,0.942828611672078,1.0,0.2648869307029559,0.5509636440442077,0.7040106615183754,0.5904825148474129,0.510567153644595,-0.34243456952294554,0.5340926317081945,0.5602972470214374,-0.677366985341452,0.6601459713567394,-0.9194696662997016,0.7571153643464343,0.03208006999937013
RM_cancer,0.24605553254484205,0.22036322286178267,0.26488693070295594,1.0,-0.03060684666937661,0.33330188423090495,-0.02518169526804604,0.10012652512544112,0.03746723360849752,0.24657367249312673,0.20202465196894928,-0.14225871934414727,0.1247728739027608,-0.20412801562515476,0.16635064689089454,-0.05682189112557205
RM_cardio,0.5104338757055936,0.4476420643261646,0.5509636440442076,-0.03060684666937661,1.0,0.4767150890201494,0.5264933964006471,0.03854619023760062,-0.14454949374889167,0.2077788498181525,0.31356895268458557,-0.4299377405061516,0.5817559966404748,-0.5520033628551824,0.2907114831381205,0.0587372203575796
RM_vatamari,0.6822919735434851,0.6342716966747858,0.7040106615183754,0.33330188423090495,0.47671508902014936,1.0,0.4983378604581405,0.1275372375319224,-0.10783139793380593,0.4979303724768719,0.6058490384403328,-0.49320360120851675,0.5855705325090665,-0.7080331130603714,0.4260596531524396,0.0771996816618143
RM5_boli_diareice,0.620897559604063,0.630767772468167,0.5904825148474129,-0.02518169526804604,0.526493396400647,0.49833786045814044,1.0,0.0023143239642904705,-0.47931572324276656,0.43638266544389365,0.613939439704077,-0.6750656413367068,0.8739716544259689,-0.6824866638178886,0.4720816288197608,0.1370395038864394
RM5_HIV,0.5164635507689432,0.515275166656028,0.510567153644595,0.10012652512544114,0.03854619023760062,0.1275372375319224,0.002314323964290471,1.0,-0.18111664231357724,0.10901880868057902,0.0384707987720607,-0.25699914019946507,0.0011009872478417954,-0.4782469740554386,0.6727385463790839,-0.027731836211427375
RM5_vatamari,-0.4064787424622801,-0.4671077472294233,-0.34243456952294554,0.03746723360849752,-0.14454949374889167,-0.10783139793380593,-0.4793157232427665,-0.18111664231357721,1.0,-0.3687709945417823,-0.3882301123115755,0.23832835220458745,-0.4492572444906008,0.4988134733152734,-0.4004984857521017,-0.09463167135919826
RM5_malaria,0.5732971463660187,0.598960014586363,0.5340926317081945,0.24657367249312676,0.20777884981815248,0.4979303724768719,0.43638266544389365,0.10901880868057902,-0.3687709945417823,1.0,0.7091547518122344,-0.5182553369024426,0.5277457379667035,-0.5991308974244733,0.3653314633518961,-0.002560885825033446
RM5_pojar,0.6001354411940347,0.6228703289526873,0.5602972470214374,0.20202465196894928,0.31356895268458557,0.6058490384403328,0.613939439704077,0.03847079877206071,-0.3882301123115755,0.7091547518122344,0.9999999999999998,-0.5759260171729418,0.6554282218725739,-0.6467746706075606,0.4316217575333756,0.1350973397123744
RM5_neonatal,-0.690827073573131,-0.6843813757075194,-0.677366985341452,-0.14225871934414727,-0.4299377405061516,-0.4932036012085167,-0.6750656413367067,-0.25699914019946507,0.23832835220458745,-0.5182553369024426,-0.5759260171729418,1.0,-0.6995176945776639,0.7008294432367363,-0.563043228456903,0.005990555683788524
RM5_pneumonie,0.6786788866702756,0.6752909199048398,0.6601459713567392,0.12477287390276082,0.581755996640475,0.5855705325090664,0.8739716544259689,0.0011009872478417954,-0.4492572444906007,0.5277457379667037,0.6554282218725739,-0.6995176945776639,1.0,-0.7492645695832837,0.49524163197876914,0.12253804568069453
SV,-0.941797651304651,-0.9381152665942538,-0.9194696662997016,-0.20412801562515476,-0.5520033628551824,-0.7080331130603714,-0.6824866638178886,-0.47824697405543865,0.4988134733152734,-0.5991308974244733,-0.6467746706075606,0.7008294432367363,-0.7492645695832837,1.0,-0.792950297513017,-0.0712693951350527
Tuberculoza,0.7766234760366337,0.7778527403058831,0.7571153643464343,0.16635064689089454,0.2907114831381205,0.42605965315243965,0.4720816288197608,0.6727385463790839,-0.4004984857521017,0.3653314633518961,0.43162175753337556,-0.563043228456903,0.4952416319787691,-0.7929502975130169,0.9999999999999998,0.037518619426815
Polio,0.04578276749488184,0.05692120644913673,0.03208006999937013,-0.05682189112557205,0.05873722035757961,0.07719968166181432,0.1370395038864394,-0.027731836211427375,-0.09463167135919826,-0.002560885825033446,0.1350973397123744,0.005990555683788523,0.12253804568069454,-0.07126939513505272,0.037518619426815,0.9999999999999999
