,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
RM_Adulti,16798.675239603745,16367.287846653608,17338.91052108782,994.5779236632939,9202.76605268155,4493.0428614057455,591.1797179352194,612.5198581363776,-199.53368429802447,592.396237289075,161.45248676955475,-1279.2169017206506,680.8132526114543,-1344.382361717712,15866.156389876029,126.8220086445274
RM_Barbati,16367.287846653608,16462.585519074342,16402.311981529703,881.7719935979167,7989.531020264221,4134.825027805659,594.5393089689949,604.9663434097143,-226.99012219112794,612.6914881826494,165.88404311324163,-1254.5400404532982,670.6039040203927,-1325.6623172286575,15731.49900984727,156.0911165400414
RM_femei,17338.91052108782,16402.311981529703,18384.278289350048,1120.0875946070582,10391.724167864799,4849.928220709112,588.1558089274334,633.4599235266411,-175.84975201573795,577.3442880496525,157.68839322822868,-1312.1534925604717,692.7705466736858,-1373.0564251417409,16181.137617665407,92.96375741630645
RM_cancer,994.5779236632939,881.7719935979167,1120.0875946070582,972.6046170957334,-132.77861270108238,528.1274177359411,-5.769194536033912,28.573292510598215,4.42548280734809,61.306971267074886,13.077673104097977,-63.384691474328775,30.117192651907676,-70.11298592084202,817.7420991237824,-37.873803000298416
RM_cardio,9202.76605268155,7989.531020264221,10391.724167864799,-132.77861270108238,19350.079374983045,3369.248596153324,538.0174475631045,49.06432351555791,-76.1550691308082,230.4293037045246,90.53830871962539,-854.4453049236653,626.3374636335928,-845.6892005534005,6374.2231234571245,174.62637332826958
RM_vatamari,4493.0428614057455,4134.825027805659,4849.928220709112,528.1274177359411,3369.248596153324,2581.4609771315413,186.00247430107228,59.29427558116983,-20.750037405447344,201.69558615721368,63.893275331800176,-358.0109778061014,230.2704136765398,-396.1996039389089,3412.140384667552,83.83075170224885
RM5_boli_diareice,591.1797179352194,594.5393089689949,588.1558089274334,-5.769194536033912,538.0174475631045,186.00247430107228,53.96648250256297,0.1555711950347731,-13.335969632318305,25.55786317918594,9.361502036518798,-70.85090188689702,49.69189382394502,-55.21841179241364,546.6418220609015,21.516067717713554
RM5_HIV,612.5198581363776,604.9663434097143,633.4599235266411,28.573292510598215,49.06432351555791,59.29427558116983,0.1555711950347731,83.73093846111217,-6.276856557036379,7.95315424898174,0.7306882602310828,-33.59788756199607,0.0779742872184212,-48.19732066166082,970.3155495829986,-5.423462913191654
RM5_vatamari,-199.53368429802447,-226.99012219112794,-175.84975201573795,4.42548280734809,-76.1550691308082,-20.750037405447344,-13.335969632318305,-6.276856557036379,14.34437837688066,-11.13506137264138,-3.052024604472029,12.895966584467043,-13.169282092488434,20.806868748441435,-239.09221966695299,-7.660064836108725
RM5_malaria,592.396237289075,612.6914881826494,577.3442880496525,61.306971267074886,230.4293037045246,201.69558615721368,25.55786317918594,7.95315424898174,-11.13506137264138,63.56089274334327,11.735293563492283,-59.03045080490981,32.564609459422016,-52.607104264221,459.0983901803773,-0.4363553240420004
RM5_pojar,161.45248676955475,165.88404311324163,157.68839322822868,13.077673104097977,90.53830871962539,63.893275331800176,9.361502036518798,0.7306882602310828,-3.052024604472029,11.735293563492283,4.3083987697764,-17.078981463522766,10.529535895375579,-14.785589205064975,141.21634756587517,5.993214374774879
RM5_neonatal,-1279.2169017206506,-1254.5400404532982,-1312.1534925604717,-63.384691474328775,-854.4453049236653,-358.0109778061014,-70.85090188689702,-33.59788756199607,12.895966584467043,-59.03045080490981,-17.078981463522766,204.11487018924387,-77.35033027624618,110.27507134742731,-1267.951849491563,1.8291928735695933
RM5_pneumonie,680.8132526114543,670.6039040203927,692.7705466736858,30.117192651907676,626.3374636335928,230.2704136765398,49.69189382394502,0.0779742872184212,-13.169282092488434,32.564609459422016,10.529535895375579,-77.35033027624618,59.90351278712145,-63.86883987697763,604.180898284891,20.269926020337486
SV,-1344.382361717712,-1325.6623172286575,-1373.0564251417409,-70.11298592084202,-845.6892005534005,-396.1996039389089,-55.21841179241364,-48.19732066166082,20.806868748441435,-52.607104264221,-14.785589205064975,110.27507134742731,-63.86883987697763,121.29848357431572,-1376.5669912920814,-16.7758999538833
Tuberculoza,15866.156389876029,15731.49900984727,16181.137617665407,817.7420991237824,6374.2231234571245,3412.140384667552,546.6418220609015,970.3155495829986,-239.09221966695299,459.0983901803773,141.21634756587517,-1267.951849491563,604.180898284891,-1376.5669912920814,24845.48040040148,126.3937552559477
Polio,126.8220086445274,156.0911165400414,92.96375741630645,-37.873803000298416,174.62637332826958,83.83075170224885,21.516067717713554,-5.423462913191654,-7.660064836108725,-0.4363553240420004,5.993214374774879,1.8291928735695933,20.269926020337486,-16.7758999538833,126.3937552559477,456.7832156567963
